produto,ano_safra,valor,grupo,variavel,unidade,produto_clean
1.13 Milho (1ª Safra),2025,4446922.0,Brasil,Área colhida (Hectares),Hectares,Milho (1ª Safra)
1.14 Milho (2ª Safra),2025,17661570.0,Brasil,Área colhida (Hectares),Hectares,Milho (2ª Safra)
1.15 Soja,2025,47573015.0,Brasil,Área colhida (Hectares),Hectares,Soja
1.16 Sorgo,2025,1475805.0,Brasil,Área colhida (Hectares),Hectares,Sorgo
1.17 Trigo,2025,2418293.0,Brasil,Área colhida (Hectares),Hectares,Trigo
1.18 Triticale,2025,13707.0,Brasil,Área colhida (Hectares),Hectares,Triticale
4 Banana,2025,465584.0,Brasil,Área colhida (Hectares),Hectares,Banana
5 Batata - inglesa (1ª Safra),2025,60646.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2025,44874.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2025,26989.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (3ª Safra)
8 Cacau,2025,643895.0,Brasil,Área colhida (Hectares),Hectares,Cacau
9 Café arábica,2025,1537918.0,Brasil,Área colhida (Hectares),Hectares,Café arábica
10 Café canephora,2025,424377.0,Brasil,Área colhida (Hectares),Hectares,Café canephora
11 Cana-de-açúcar,2025,9241643.0,Brasil,Área colhida (Hectares),Hectares,Cana-de-açúcar
12 Castanha-de-caju,2025,449882.0,Brasil,Área colhida (Hectares),Hectares,Castanha-de-caju
15 Fumo,2025,357384.0,Brasil,Área colhida (Hectares),Hectares,Fumo
18 Laranja,2025,527555.0,Brasil,Área colhida (Hectares),Hectares,Laranja
21 Mandioca,2025,1260582.0,Brasil,Área colhida (Hectares),Hectares,Mandioca
24 Tomate,2025,62317.0,Brasil,Área colhida (Hectares),Hectares,Tomate
25 Uva,2025,83333.0,Brasil,Área colhida (Hectares),Hectares,Uva
"1 Cereais, leguminosas e oleaginosas",2024,292705861.0,Brasil,Produção (Toneladas),Toneladas,"Cereais, leguminosas e oleaginosas"
1.1 Algodão herbáceo,2024,8866378.0,Brasil,Produção (Toneladas),Toneladas,Algodão herbáceo
1.2 Amendoim (1ª Safra),2024,780032.0,Brasil,Produção (Toneladas),Toneladas,Amendoim (1ª Safra)
1.3 Amendoim (2ª Safra),2024,13800.0,Brasil,Produção (Toneladas),Toneladas,Amendoim (2ª Safra)
1.4 Arroz,2024,10591604.0,Brasil,Produção (Toneladas),Toneladas,Arroz
1.5 Aveia,2024,1059343.0,Brasil,Produção (Toneladas),Toneladas,Aveia
1.6 Centeio,2024,5881.0,Brasil,Produção (Toneladas),Toneladas,Centeio
1.7 Cevada,2024,416239.0,Brasil,Produção (Toneladas),Toneladas,Cevada
1.8 Feijão (1ª Safra),2024,894234.0,Brasil,Produção (Toneladas),Toneladas,Feijão (1ª Safra)
1.9 Feijão (2ª Safra),2024,1395083.0,Brasil,Produção (Toneladas),Toneladas,Feijão (2ª Safra)
1.10 Feijão (3ª Safra),2024,809844.0,Brasil,Produção (Toneladas),Toneladas,Feijão (3ª Safra)
1.11 Girassol,2024,90258.0,Brasil,Produção (Toneladas),Toneladas,Girassol
1.12 Mamona,2024,31717.0,Brasil,Produção (Toneladas),Toneladas,Mamona
1.13 Milho (1ª Safra),2024,22912466.0,Brasil,Produção (Toneladas),Toneladas,Milho (1ª Safra)
1.14 Milho (2ª Safra),2024,91790726.0,Brasil,Produção (Toneladas),Toneladas,Milho (2ª Safra)
1.15 Soja,2024,144946662.0,Brasil,Produção (Toneladas),Toneladas,Soja
1.16 Sorgo,2024,3985503.0,Brasil,Produção (Toneladas),Toneladas,Sorgo
1.17 Trigo,2024,7530249.0,Brasil,Produção (Toneladas),Toneladas,Trigo
1.18 Triticale,2024,43729.0,Brasil,Produção (Toneladas),Toneladas,Triticale
4 Banana,2024,6995034.0,Brasil,Produção (Toneladas),Toneladas,Banana
5 Batata - inglesa (1ª Safra),2024,1745460.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2024,1527003.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2024,1235346.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (3ª Safra)
8 Cacau,2024,287784.0,Brasil,Produção (Toneladas),Toneladas,Cacau
9 Café arábica,2024,2401279.0,Brasil,Produção (Toneladas),Toneladas,Café arábica
10 Café canephora,2024,1024120.0,Brasil,Produção (Toneladas),Toneladas,Café canephora
11 Cana-de-açúcar,2024,706720425.0,Brasil,Produção (Toneladas),Toneladas,Cana-de-açúcar
12 Castanha-de-caju,2024,161014.0,Brasil,Produção (Toneladas),Toneladas,Castanha-de-caju
15 Fumo,2024,626649.0,Brasil,Produção (Toneladas),Toneladas,Fumo
18 Laranja,2024,12216934.0,Brasil,Produção (Toneladas),Toneladas,Laranja
21 Mandioca,2024,19059194.0,Brasil,Produção (Toneladas),Toneladas,Mandioca
24 Tomate,2024,4666924.0,Brasil,Produção (Toneladas),Toneladas,Tomate
25 Uva,2024,1763397.0,Brasil,Produção (Toneladas),Toneladas,Uva
"1 Cereais, leguminosas e oleaginosas",2025,340451981.0,Brasil,Produção (Toneladas),Toneladas,"Cereais, leguminosas e oleaginosas"
1.1 Algodão herbáceo,2025,9493294.0,Brasil,Produção (Toneladas),Toneladas,Algodão herbáceo
1.2 Amendoim (1ª Safra),2025,1196288.0,Brasil,Produção (Toneladas),Toneladas,Amendoim (1ª Safra)
1.3 Amendoim (2ª Safra),2025,39739.0,Brasil,Produção (Toneladas),Toneladas,Amendoim (2ª Safra)
1.4 Arroz,2025,12467535.0,Brasil,Produção (Toneladas),Toneladas,Arroz
1.5 Aveia,2025,1348559.0,Brasil,Produção (Toneladas),Toneladas,Aveia
1.6 Centeio,2025,8216.0,Brasil,Produção (Toneladas),Toneladas,Centeio
1.7 Cevada,2025,549267.0,Brasil,Produção (Toneladas),Toneladas,Cevada
